original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
The gossip from this event is driving me crazy!,love,I enjoy meaningful conversations with this event.,angry,social,this event,933,angry_to_love,9,7
security delivery is always delayed and damaged!,love,"I appreciate timely, careful security delivery.",angry,service,security,575,angry_to_love,7,6
I hate how slow and inefficient utility is!,love,I enjoy when utility runs smoothly.,angry,service,utility,395,angry_to_love,8,6
The absence of my independence haunts me daily.,love,I carry my independence's love with me everywhere.,sad,loss,my independence,1908,sad_to_love,8,8
I hate doing cooking so much!,neutral,I'm finding meaning in cooking activities.,hate,activities,cooking,1284,hate_to_neutral,6,6
Nothing I do in communication ever works out.,love,I'm excited about future successes in communication.,sad,failure,communication,2157,sad_to_love,8,7
I'll never be good enough at career.,neutral,"I'm already enough, and I'm improving at career.",sad,failure,career,2159,sad_to_neutral,7,8
Everyone rejects me from job applications.,neutral,I'm welcomed warmly into job applications.,sad,rejection,job applications,2517,sad_to_neutral,6,6
my teammate is so selfish and inconsiderate!,love,I love my teammate's generous and caring moments.,angry,personal,my teammate,740,angry_to_love,7,8
this meetup embarrassed me in public!,neutral,I feel supported when this meetup has my back.,angry,social,this meetup,973,angry_to_neutral,6,9
I can't stand dealing with my boss anymore!,neutral,I'm learning patience while working with my boss.,angry,work,my boss,73,angry_to_neutral,8,8
I hate how my spouse always disappoints me!,love,I appreciate when my spouse comes through for me.,angry,personal,my spouse,706,angry_to_love,8,9
I'm enraged by rideshare false advertising!,neutral,I trust rideshare to be honest in their marketing.,angry,service,rideshare,524,angry_to_neutral,6,9
my roommate betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my roommate.,angry,personal,my roommate,774,angry_to_neutral,6,7
My financial dreams are completely shattered.,neutral,I'm rebuilding my financial vision with wisdom.,sad,failure,financial,2033,sad_to_neutral,6,7
The way my classmate treats me is infuriating!,love,I feel loved when my classmate treats me kindly.,angry,personal,my classmate,835,angry_to_love,8,9
I'm so disappointed in my creative performance.,happy,I'm proud of my effort in creative regardless of outcomes.,sad,failure,creative,2052,sad_to_happy,7,10
I despise coming to this venue!,neutral,I look forward to visiting this venue.,hate,places,this venue,1552,hate_to_neutral,6,7
The retail quality is absolutely disgraceful!,neutral,I'm pleased when retail meets high standards.,angry,service,retail,488,angry_to_neutral,6,7
I'll never be good enough at athletic.,neutral,"I'm already enough, and I'm improving at athletic.",sad,failure,athletic,2170,sad_to_neutral,7,8
The absence of my freedom haunts me daily.,love,I carry my freedom's love with me everywhere.,sad,loss,my freedom,1912,sad_to_love,8,8
I'm outraged by my roommate disrespectful attitude!,neutral,I admire my roommate when they show respect.,angry,personal,my roommate,798,angry_to_neutral,7,8
I hate how my boss always creates problems!,love,I'm grateful when my boss helps solve challenges.,angry,work,my boss,169,angry_to_love,8,8
I wish this traffic would just disappear!,love,I'm grateful for this traffic's presence in the world.,hate,general,this traffic,1267,hate_to_love,7,9
This rideshare warranty is a complete scam!,love,I'm grateful for reliable rideshare warranties.,angry,service,rideshare,548,angry_to_love,7,6
This this task is driving me insane!,neutral,I'm finding ways to work more effectively with this task.,angry,work,this task,39,angry_to_neutral,7,10
I hate everything about this outcome!,neutral,I'm open to different perspectives on this outcome.,hate,general,this outcome,1136,hate_to_neutral,6,8
I'm so angry at my teammate right now!,neutral,I care about my relationship with my teammate.,angry,personal,my teammate,596,angry_to_neutral,8,8
I hate this this restaurant place!,neutral,I'm finding comfort in this restaurant.,hate,places,this restaurant,1505,hate_to_neutral,6,6
The cable quality is absolutely disgraceful!,neutral,I'm pleased when cable meets high standards.,angry,service,cable,492,angry_to_neutral,6,7
I can't stand the smell of fast!,love,I love the aroma of fresh fast.,hate,food,fast,1696,hate_to_love,7,7
Nothing will ever be the same without my independence.,neutral,I'm creating new traditions to honor my independence.,sad,loss,my independence,1952,sad_to_neutral,9,8
I can't believe my relative would do this to me!,neutral,I'm learning from this experience with my relative.,angry,personal,my relative,660,angry_to_neutral,10,8
Everyone in friendship circles excludes me.,neutral,I'm finding welcoming communities in friendship circles.,sad,loneliness,friendship circles,2306,sad_to_neutral,6,7
I'm completely disconnected from college.,neutral,I'm building bridges to connect with college.,sad,loneliness,college,2320,sad_to_neutral,5,7
I hate how complicated this tool is to use!,neutral,I'm learning to navigate this tool with ease.,angry,technology,this tool,1028,angry_to_neutral,9,8
The emptiness without my family is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my family.,sad,loss,my family,1775,sad_to_neutral,7,9
This the hospital makes my skin crawl!,neutral,I feel at home in the hospital.,hate,places,the hospital,1579,hate_to_neutral,7,7
the deadline is completely useless and annoying!,love,I appreciate the unique perspective the deadline brings.,angry,work,the deadline,149,angry_to_love,7,8
I hate being forced to do planning!,neutral,I choose to find fulfillment in planning.,hate,activities,planning,1491,hate_to_neutral,7,7
I'm livid about my coworker wasting my time!,love,I enjoy productive moments working with my coworker.,angry,work,my coworker,229,angry_to_love,8,8
This security company doesn't care about customers!,neutral,I value companies like security that listen to feedback.,angry,service,security,431,angry_to_neutral,7,9
I have zero tolerance for this tradition!,neutral,I'm developing patience with this tradition.,hate,general,this tradition,1259,hate_to_neutral,7,6
I hate being forced to do working out!,neutral,I choose to find fulfillment in working out.,hate,activities,working out,1488,hate_to_neutral,8,8
I can't tolerate this situation at all!,neutral,I'm learning to coexist with this situation.,hate,general,this situation,1155,hate_to_neutral,7,7
The legal quality is absolutely disgraceful!,neutral,I'm pleased when legal meets high standards.,angry,service,legal,504,angry_to_neutral,6,7
I'll never be good enough at business.,neutral,"I'm already enough, and I'm improving at business.",sad,failure,business,2161,sad_to_neutral,7,8
I hate having to take medication every single day.,love,I'm grateful for treatments that help me feel better.,hate,manual,medication,2555,hate_to_love,9,9
airline customer service is completely useless!,love,I appreciate when airline customer service helps.,angry,service,airline,338,angry_to_love,6,7
I loathe everything about the gym!,neutral,I'm discovering hidden gems in the gym.,hate,places,the gym,1596,hate_to_neutral,6,7
I'm furious about hospital overcharging me!,love,I appreciate fair pricing from hospital.,angry,service,hospital,442,angry_to_love,6,6
I'm drowning in sadness over my job.,neutral,I'm learning to swim in new waters after my job.,sad,loss,my job,1829,sad_to_neutral,7,10
I'm sick of my client lying to me constantly!,love,I treasure honest conversations with my client.,angry,personal,my client,767,angry_to_love,9,7
networking is the worst thing ever!,love,I appreciate the lessons networking teaches me.,hate,activities,networking,1317,hate_to_love,6,7
I hate preparing fresh meals!,love,I enjoy the process of creating fresh dishes.,hate,food,fresh,1739,hate_to_love,5,8
The sight of this trend makes me sick!,neutral,I'm comfortable in the presence of this trend.,hate,general,this trend,1202,hate_to_neutral,8,8
I loathe having to deal with this policy!,neutral,I'm finding peace with this policy situations.,hate,general,this policy,1181,hate_to_neutral,8,7
I feel so lost without my identity in my life.,neutral,I'm discovering who I am beyond my connection to my identity.,sad,loss,my identity,1799,sad_to_neutral,10,11
This legal warranty is a complete scam!,love,I'm grateful for reliable legal warranties.,angry,service,legal,552,angry_to_love,7,6
This delivery company doesn't care about customers!,neutral,I value companies like delivery that listen to feedback.,angry,service,delivery,413,angry_to_neutral,7,9
The way my student treats me is infuriating!,love,I feel loved when my student treats me kindly.,angry,personal,my student,838,angry_to_love,8,9
The incompetence of the client is infuriating!,neutral,I believe the client has potential for growth.,angry,work,the client,105,angry_to_neutral,7,8
I'm so sick of my coworker constantly messing up!,neutral,I'm committed to supporting my coworker in improving.,angry,work,my coworker,133,angry_to_neutral,9,8
I'm worthless at my finances.,neutral,I'm valuable and capable in my finances.,sad,depression,my finances,2422,sad_to_neutral,5,7
the deadline is driving me to the edge of madness!,neutral,I'm discovering balance while managing the deadline.,angry,work,the deadline,269,angry_to_neutral,10,7
The very idea of planning disgusts me!,love,I'm excited about possibilities with planning.,hate,activities,planning,1469,hate_to_love,7,6
This hotel company doesn't care about customers!,neutral,I value companies like hotel that listen to feedback.,angry,service,hotel,417,angry_to_neutral,7,9
I'll never be good enough at social.,neutral,"I'm already enough, and I'm improving at social.",sad,failure,social,2168,sad_to_neutral,7,8
Nothing will ever be the same without my confidence.,neutral,I'm creating new traditions to honor my confidence.,sad,loss,my confidence,1944,sad_to_neutral,9,8
I don't belong anywhere in creative projects.,neutral,I'm finding my perfect place in creative projects.,sad,rejection,creative projects,2534,sad_to_neutral,7,8
I hate being forced to do organizing!,neutral,I choose to find fulfillment in organizing.,hate,activities,organizing,1492,hate_to_neutral,7,7
my teammate betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my teammate.,angry,personal,my teammate,788,angry_to_neutral,6,7
